SOTUs	GOTUs
SOTU72	Clostridiumsensustricto1
SOTU31	Anaerovibrio
SOTU96	Terrisporobacter
SOTU12	Prevotella
SOTU9	Prevotella
SOTU32	Anaerovibrio
SOTU2	Faecalibacterium
SOTU5	Prevotella
SOTU58	Roseburia
SOTU113	UCG-008
SOTU24	Megasphaera
SOTU53	Subdoligranulum
SOTU99	Lactobacillus
SOTU7	Prevotella
SOTU54	Subdoligranulum
SOTU11	Prevotella
SOTU62	Blautia
SOTU77	Phascolarctobacterium
SOTU97	Lactobacillus
SOTU10	Prevotella
SOTU98	Lactobacillus
SOTU110	GOTU7
SOTU13	Prevotella
SOTU17	Oribacterium
SOTU36	Coprococcus
SOTU46	Campylobacter
SOTU27	Turicibacter
SOTU48	Escherichia-Shigella
SOTU38	Butyricicoccus
SOTU80	Intestinibacter
SOTU3	Collinsella
SOTU67	PrevotellaceaeNK3B31group
SOTU37	Coprococcus
SOTU18	Oribacterium
SOTU103	Mitsuokella
SOTU59	Roseburia
SOTU20	Helicobacter
SOTU55	Subdoligranulum
SOTU120	Roseburia
SOTU50	Dialister
SOTU71	Solobacterium
SOTU83	Agathobacter
SOTU91	Alloprevotella
SOTU89	Dorea
SOTU121	GOTU4
SOTU56	Catenibacterium
SOTU28	PrevotellaceaeUCG-003
SOTU69	Fusicatenibacter
SOTU40	Streptococcus
SOTU49	Marvinbryantia
SOTU39	Ruminococcusgauvreauiigroup
SOTU51	LachnospiraceaeNK4A136group
SOTU115	GOTU12
SOTU123	GOTU11
SOTU29	PrevotellaceaeUCG-003
SOTU100	Lactobacillus
SOTU85	Desulfovibrio
SOTU65	PrevotellaceaeNK3B31group
SOTU22	Fournierella
SOTU41	Streptococcus
SOTU79	Acidaminococcus
SOTU63	Ruminococcustorquesgroup
SOTU8	Prevotella
SOTU26	Eubacteriumruminantiumgroup
SOTU25	Treponema
SOTU52	LachnospiraceaeNK4A136group
SOTU107	GOTU6
SOTU78	UCG-003
SOTU21	Helicobacter
SOTU106	LachnospiraceaeAC2044group
SOTU16	Lachnoclostridium
SOTU33	Anaerovibrio
SOTU119	LachnospiraceaeNK4A136group
SOTU6	Prevotella
SOTU19	LachnospiraceaeXPB1014group
SOTU64	PrevotellaceaeNK3B31group
SOTU57	Holdemanella
SOTU116	GOTU2
SOTU44	Veillonella
SOTU94	Alloprevotella
SOTU86	Desulfovibrio
SOTU108	GOTU5
SOTU74	Actinobacillus
SOTU73	Clostridiumsensustricto1
SOTU105	Enterococcus
SOTU23	PrevotellaceaeUCG-001
SOTU70	UCG-005
SOTU4	FamilyXIIIAD3011group
SOTU122	GOTU10
SOTU109	GOTU8
SOTU111	GOTU9
SOTU117	GOTU3
SOTU1	Pseudomonas
SOTU43	Selenomonas
SOTU76	Chlamydia
SOTU90	Alloprevotella
SOTU45	Citrobacter
SOTU82	Bacillus
SOTU34	Staphylococcus
SOTU102	UCG-008
SOTU81	Acinetobacter
SOTU114	GOTU1
SOTU61	Corynebacterium
SOTU93	Alloprevotella
SOTU92	Alloprevotella
SOTU60	Stenotrophomonas
SOTU66	PrevotellaceaeNK3B31group
SOTU84	Desulfovibrio
SOTU112	GOTU8
SOTU14	Prevotella
SOTU87	Akkermansia
SOTU47	Campylobacter
SOTU124	GOTU13
SOTU101	Lactobacillus
SOTU30	PrevotellaceaeUCG-003
SOTU95	Alloprevotella
SOTU15	Prevotella
SOTU35	Cellulosilyticum
SOTU75	Eubacteriumnodatumgroup
SOTU68	PrevotellaceaeNK3B31group
SOTU42	Streptococcus
SOTU104	Bifidobacterium
SOTU88	Akkermansia
SOTU118	LachnospiraceaeAC2044group
