#Zotu	D1_dataset_0	D2_dataset_1	D3_dataset_2	D4_dataset_3	D5_dataset_4	D6_dataset_5	D7_dataset_6	Taxonomy
Zotu1	319	83	329	133	355	1619	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustricto1;SOTU72
Zotu2	59	349	1105	79	291	29	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio;SOTU31
Zotu3	79	73	135	36	1047	648	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter;SOTU96
Zotu4	135	29	78	32	70	95	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU12
Zotu5	1090	337	76	61	69	28	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
Zotu6	269	193	232	39	67	10	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
Zotu7	83	149	0	46	28	15	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio;SOTU32
Zotu8	48	227	652	25	76	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU2
Zotu9	199	154	161	20	30	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu10	189	218	1041	38	82	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU58
Zotu11	91	493	121	45	70	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu12	94	191	88	22	20	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008;SOTU113
Zotu13	1165	1031	803	44	244	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;SOTU24
Zotu14	503	279	65	48	82	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU53
Zotu15	120	288	512	20	43	17	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu16	1362	853	1182	100	222	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu17	1292	106	125	811	62	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU99
Zotu18	219	133	403	0	35	17	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU7
Zotu19	359	256	16	7	45	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU54
Zotu20	322	196	130	12	15	38	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu21	36	92	661	22	6	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU11
Zotu22	106	152	235	17	50	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU62
Zotu23	58	0	43	81	45	32	0	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;SOTU77
Zotu24	48	177	9	61	35	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU97
Zotu25	65	96	319	7	37	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU2
Zotu26	92	309	11	108	50	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU97
Zotu27	29	615	221	9	31	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu28	68	70	128	0	44	5	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU10
Zotu29	57	5176	231	10	2498	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU98
Zotu30	108	130	232	0	47	28	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;GOTU7;SOTU110
Zotu31	430	42	370	31	80	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU13
Zotu32	10	16	48	14	7	8	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;SOTU17
Zotu33	53	60	67	0	65	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU36
Zotu34	180	289	0	36	31	0	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;SOTU46
Zotu35	154	543	0	31	44	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu36	52	141	87	23	21	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU11
Zotu38	0	12	35	16	26	782	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;SOTU27
Zotu39	11	0	230	20	5050	405	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;SOTU48
Zotu40	165	56	103	0	14	15	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU2
Zotu41	54	28	47	0	32	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;SOTU38
Zotu42	14	20	0	0	97	11	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter;SOTU80
Zotu43	24	12	30	18	11	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter;SOTU80
Zotu44	0	281	78	36	83	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
Zotu45	65	304	38	0	51	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
Zotu46	26	46	328	0	39	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;SOTU3
Zotu47	30	8	36	21	65	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;SOTU24
Zotu48	0	316	353	29	49	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU58
Zotu49	71	127	0	13	40	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;GOTU7;SOTU110
Zotu50	94	113	105	0	42	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU67
Zotu52	22	53	564	0	79	0	0	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;SOTU77
Zotu53	9	149	14	79	14	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU37
Zotu54	52	59	60	12	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;SOTU18
Zotu55	0	110	367	11	54	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
Zotu56	105	24	258	15	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella;SOTU103
Zotu57	106	0	54	26	22	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU59
Zotu58	43	16	0	20	84	0	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;SOTU20
Zotu59	19	51	0	15	59	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU55
Zotu60	0	39	140	0	44	25	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
Zotu62	37	78	57	15	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
Zotu63	290	141	116	0	17	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU58
Zotu64	361	60	0	0	120	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU120
Zotu65	515	164	0	0	75	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;SOTU50
Zotu66	68	33	57	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU58
Zotu67	46	80	65	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;SOTU71
Zotu69	89	66	184	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;SOTU83
Zotu70	49	0	167	0	154	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU91
Zotu71	6	22	58	0	67	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;SOTU89
Zotu73	23	31	45	13	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU53
Zotu74	56	97	36	0	15	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GOTU4;SOTU121
Zotu75	54	33	0	0	33	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU67
Zotu77	0	30	352	0	18	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;SOTU56
Zotu78	95	54	0	71	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio;SOTU32
Zotu79	42	0	0	40	98	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeUCG-003;SOTU28
Zotu80	47	40	75	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;SOTU69
Zotu83	0	22	13	0	25	38	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU12
Zotu84	0	23	114	0	39	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU62
