dataset_msd_id	dataset_type	dataset_name	dataset_name_in_features_table	dataset_accession	submission_date	target_gene	sequencing_metadata__forward_primer	sequencing_metadata__reverse_primer	sequencing_protocol_type	sequencing_protocol_name	sequencing_metadata__paired_end	sequencing_metadata__run_length	sequencing_metadata__amplification_steps	sequencing_metadata__sequencer	sequencing_metadata__target_gene	sequencing_metadata__target_region	sequencing_metadata__sample_weight	sequencing_metadata__forward_primer_f	sequencing_metadata__reverse_primer_f	analysis_protocol_type	analysis_protocol_name	preparation_metadata	project_msd_id	project_acronym	project_description	project_name	project_accession	create_date	organism_msd_id	organism_name	organism_sex	organism_species	mouse_metadata__genetic_modification	mouse_metadata__genotype	human_organism_metadata	pig_metadata_f	sample_msd_id	sample_name	sample_description	sampling_age	sampleing_age_unit	sampling_weight	sampling_weight_unit	source__organ	source__sub_localization	source__material	orid	source_description	sampling_protocol_type	sampling_protocol_name	DIS_sample_id	sample_human_optional_metadata	feed_provider	mouse_diet_category	animal_facility	housing_hygiene_level	caging	basal_microbiota	biotic_challenge	abiotic_challenge	collection_date	collection_time	collection_country	collection_location_gps	sampling_preservation	sequencing_metadata__first_step	sequencing_metadata__second_step	sequencing_metadata__reads_number	sequencing_metadata__spike_weight	sequencing_metadata__spike_reads_number	analysis_metadata__zotus_number	phylogenetic_diversity	richness	eff_richness	shannon	eff_shannon	simpson	eff_simpson
P1O1S1D1	16S	dataset_0	D1_dataset_0	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V5	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S1	Sample_0	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	29098.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O1S1D2	16S	dataset_1	D2_dataset_1	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V4	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S1	Sample_0	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	39701.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O1S1D3	16S	dataset_2	D3_dataset_2	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V5	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S1	Sample_0	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	29098.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O2S4D7	16S	dataset_6	D7_dataset_6	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V5	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O2	Mouse_1	Male	Mus Musculus	TNFΔARE/+	C57BL/6J			P1O2S4	Sample_3	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	29098.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O1S2D4	16S	dataset_3	D4_dataset_3	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V4	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S2	Sample_1	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	39701.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O1S2D5	16S	dataset_4	D5_dataset_4	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V5	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S2	Sample_1	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	29098.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O1S3D6	16S	dataset_5	D6_dataset_5	Unsubmitted	2024-08-09	16S			sequencing	Test Protocol	True	2x300	2	Illumina HiSeq	16S	V4	1.0000			preparation	Preparation_protocol_Default		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S3	Sample_2	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA	5.0	25.0	39701.0	0.0	0.0	4001.0	65.0	12.0	15.0	0.95	0.95	0.95	0.95
P1O1S3DTB17	metabolomics	DTM_batch-one_Sample_2	DTM17_DTM_batch_one_Sample_2		2024-09-19																		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S3	Sample_2	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA													
P1O1S3DTB19	metabolomics	DTM_batch-two_Sample_2	DTM19_DTM_batch_two_Sample_2		2024-09-19																		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S3	Sample_2	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA													
P1O1S1DTB21	metabolomics	DTM_batch-one_Sample_0	DTM21_DTM_batch_one_Sample_0		2024-09-19																		P1	TEST-PRJ01	This is a test project	Test_Project_0	Unsubmitted	2024-08-09T13:14:44.537933Z	P1O1	Mouse_0	Male	Mus Musculus	None	C57BL/6NJ			P1O1S1	Sample_0	This is a test sample	2	w	15.0	gr	test_source_organ	test_source_sub_localization	test_source_material	1.1.1	Test Description	sampling	Test Protocol	NA		Sniff	Chow	TUM Freising	Isolator	Single Housed	Native	None	None	1972-01-01	00:27:00	DE	0.0	NA													
