GOTUs	FOTUs
Clostridiumsensustricto1	Clostridiaceae
Anaerovibrio	Selenomonadaceae
Terrisporobacter	Peptostreptococcaceae
Prevotella	Prevotellaceae
Faecalibacterium	Ruminococcaceae
Roseburia	Lachnospiraceae
UCG-008	Butyricicoccaceae
Megasphaera	Veillonellaceae
Subdoligranulum	Ruminococcaceae
Lactobacillus	Lactobacillaceae
Blautia	Lachnospiraceae
Phascolarctobacterium	Acidaminococcaceae
GOTU7	Prevotellaceae
Oribacterium	Lachnospiraceae
Coprococcus	Lachnospiraceae
Campylobacter	Campylobacteraceae
Turicibacter	Erysipelotrichaceae
Escherichia-Shigella	Enterobacteriaceae
Butyricicoccus	Butyricicoccaceae
Intestinibacter	Peptostreptococcaceae
Collinsella	Coriobacteriaceae
PrevotellaceaeNK3B31group	Prevotellaceae
Mitsuokella	Selenomonadaceae
Helicobacter	Helicobacteraceae
Dialister	Veillonellaceae
Solobacterium	Erysipelotrichaceae
Agathobacter	Lachnospiraceae
Alloprevotella	Prevotellaceae
Dorea	Lachnospiraceae
GOTU4	Lachnospiraceae
Catenibacterium	Erysipelatoclostridiaceae
PrevotellaceaeUCG-003	Prevotellaceae
Fusicatenibacter	Lachnospiraceae
Streptococcus	Streptococcaceae
Marvinbryantia	Lachnospiraceae
Ruminococcusgauvreauiigroup	Lachnospiraceae
LachnospiraceaeNK4A136group	Lachnospiraceae
GOTU12	Muribaculaceae
GOTU11	Erysipelotrichaceae
Desulfovibrio	Desulfovibrionaceae
Fournierella	Ruminococcaceae
Acidaminococcus	Acidaminococcaceae
Ruminococcustorquesgroup	Lachnospiraceae
Eubacteriumruminantiumgroup	Lachnospiraceae
Treponema	Spirochaetaceae
GOTU6	Selenomonadaceae
UCG-003	Oscillospiraceae
LachnospiraceaeAC2044group	Lachnospiraceae
Lachnoclostridium	Lachnospiraceae
LachnospiraceaeXPB1014group	Lachnospiraceae
Holdemanella	Erysipelotrichaceae
GOTU2	Eubacteriumcoprostanoligenesgroup
Veillonella	Veillonellaceae
GOTU5	Selenomonadaceae
Actinobacillus	Pasteurellaceae
Enterococcus	Enterococcaceae
PrevotellaceaeUCG-001	Prevotellaceae
UCG-005	Oscillospiraceae
FamilyXIIIAD3011group	Anaerovoracaceae
GOTU10	Erysipelotrichaceae
GOTU8	Prevotellaceae
GOTU9	Prevotellaceae
GOTU3	Eubacteriumcoprostanoligenesgroup
Pseudomonas	Pseudomonadaceae
Selenomonas	Selenomonadaceae
Chlamydia	Chlamydiaceae
Citrobacter	Enterobacteriaceae
Bacillus	Bacillaceae
Staphylococcus	Staphylococcaceae
Acinetobacter	Moraxellaceae
GOTU1	Oscillospiraceae
Corynebacterium	Corynebacteriaceae
Stenotrophomonas	Xanthomonadaceae
Akkermansia	Akkermansiaceae
GOTU13	FOTU1
Cellulosilyticum	Lachnospiraceae
Eubacteriumnodatumgroup	Anaerovoracaceae
Bifidobacterium	Bifidobacteriaceae
