#SOTU	D1_dataset_0	D2_dataset_1	D3_dataset_2	D4_dataset_3	D5_dataset_4	D6_dataset_5	D7_dataset_6	Taxonomy
SOTU72	319	83	329	205	473	2786	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustricto1;SOTU72
SOTU31	59	349	1105	79	291	29	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio;SOTU31
SOTU96	79	73	135	70	1108	1491	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter;SOTU96
SOTU12	135	51	91	32	95	133	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU12
SOTU9	1639	1726	959	188	349	38	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU9
SOTU32	248	215	0	151	28	40	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio;SOTU32
SOTU2	278	420	1171	32	136	15	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU2
SOTU5	2515	3282	2467	237	499	80	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU5
SOTU58	547	809	2530	67	161	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU58
SOTU113	94	191	88	22	20	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008;SOTU113
SOTU24	1195	1200	839	65	309	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;SOTU24
SOTU53	526	310	110	76	82	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU53
SOTU99	1292	106	207	811	79	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU99
SOTU7	219	169	776	0	35	17	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU7
SOTU54	359	256	16	7	45	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU54
SOTU11	119	233	974	45	27	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU11
SOTU62	106	252	349	45	98	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU62
SOTU77	80	53	848	81	143	32	0	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;SOTU77
SOTU97	140	717	20	169	134	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU97
SOTU10	68	70	128	0	44	5	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU10
SOTU98	57	5176	231	10	2498	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;SOTU98
SOTU110	179	257	232	13	87	28	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;GOTU7;SOTU110
SOTU13	698	42	370	31	80	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;SOTU13
SOTU17	10	16	48	14	7	8	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;SOTU17
SOTU36	53	60	67	0	65	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU36
SOTU46	213	289	0	464	59	0	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;SOTU46
SOTU27	0	12	35	16	26	856	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;SOTU27
SOTU48	11	0	230	20	6561	433	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;SOTU48
SOTU38	54	28	47	0	32	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;SOTU38
SOTU80	38	32	30	18	108	11	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter;SOTU80
SOTU3	26	46	328	0	39	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;SOTU3
SOTU67	190	166	178	19	75	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;PrevotellaceaeNK3B31group;SOTU67
SOTU37	9	149	14	96	14	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU37
SOTU18	52	59	60	12	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;SOTU18
SOTU103	105	24	258	15	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella;SOTU103
SOTU59	148	0	54	43	22	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU59
SOTU20	43	16	0	20	84	0	0	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;SOTU20
SOTU55	19	51	0	15	59	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;SOTU55
SOTU120	543	60	0	0	120	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU120
SOTU50	515	526	0	0	75	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;SOTU50
SOTU71	46	80	65	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;SOTU71
SOTU83	89	66	184	91	0	65	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;SOTU83
SOTU91	49	18	780	0	387	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;SOTU91
SOTU89	6	22	58	0	67	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;SOTU89
SOTU121	56	97	36	0	15	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GOTU4;SOTU121
SOTU56	0	30	352	0	18	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;SOTU56
